"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Сколько штрафных очков начисляется за превышение скорости на 20 миль/ч сверх лимита?","1","2","3","4","3"
"Что происходит, если вы набираете 12 штрафных очков за 3 года?","Лишение лицензии на 30 дней","Лишение лицензии на 60 дней","Лишение лицензии на 1 год","Штраф $100","Лишение лицензии на 60 дней"
"Какой проступок НЕ добавляет штрафные очки к вашей лицензии?","Превышение скорости","Проезд на красный свет","Отсутствие страховки","Парковка на тротуаре","Парковка на тротуаре"
"Сколько очков начисляется за проезд на красный свет?","1","2","3","4","3"
"Что из перечисленного может привести к приостановке лицензии?","Неуплата штрафа","DWI","Набор 12 очков","Все вышеперечисленное","Все вышеперечисленное"
"Какой срок приостановки лицензии за первую неуплату штрафа?","30 дней","60 дней","90 дней","1 год","30 дней"
"Сколько страховых очков добавляется за аварию с ущербом свыше $1,800?","1","2","3","4","3"
"Что нужно сделать для восстановления лицензии после приостановки?","Оплатить штраф","Пройти тест заново","Оплатить сбор за восстановление","Все вышеперечисленное","Все вышеперечисленное"
"Какой орган уведомляет вас о приостановке лицензии?","DMV","Полиция","Суд","Страховая компания","DMV"
"Сколько очков начисляется за вождение с приостановленной лицензией?","6","8","10","12","8"
"Что из перечисленного НЕ является причиной приостановки лицензии?","Неуплата алиментов","DWI","Неправильная парковка","Отказ от теста на алкоголь","Неправильная парковка"
"Какой срок приостановки за второе нарушение набора 12 очков?","30 дней","60 дней","6 месяцев","1 год","6 месяцев"
"Может ли нарушение в другом штате повлиять на вашу лицензию в NC?","Нет","Да","Только если это DWI","Только если это штраф","Да"
"Сколько стоит сбор за восстановление лицензии (примерно)?","$25","$50","$65","$100","$65"
"Что из перечисленного добавляет 4 штрафных очка?","Превышение скорости на 30 миль/ч","Проезд на стоп-знак","Опасное вождение","Преследование другой машины","Опасное вождение"
"Какой срок действия штрафных очков в записи?","1 год","2 года","3 года","5 лет","3 года"
"Что грозит за вождение с приостановленной лицензией?","Штраф","Тюремное заключение","Дополнительная приостановка","Все вышеперечисленное","Все вышеперечисленное"
"Сколько очков начисляется за оставление места аварии?","3","4","5","6","4"
"Может ли несовершеннолетний потерять лицензию за прогулы школы?","Да","Нет","Только после 18","Только при DWI","Да"
"Что из перечисленного НЕ влияет на страховые очки?","Авария с ущербом","Превышение скорости","Неправильная парковка","DWI","Неправильная парковка"
"Сколько очков снимается с записи каждый год без нарушений?","1","2","3","Все","1"
"Какой срок приостановки за третье нарушение набора 12 очков?","6 месяцев","1 год","3 года","Пожизненно","3 года"
"Что требуется для ограниченного разрешения после приостановки?","Оплата всех штрафов","Доказательство необходимости","Оба варианта","Ничего","Оба варианта"
"Сколько очков за использование телефона во время вождения?","2","3","5","Нет очков","5"
"Может ли суд приостановить лицензию без очков?","Да","Нет","Только DMV","Только за DWI","Да"
"Что из этого является причиной немедленной приостановки?","DWI","Превышение скорости","Неправильный поворот","Парковка в неположенном месте","DWI"
"Сколько времени дается на оплату штрафа, чтобы избежать приостановки?","10 дней","30 дней","60 дней","90 дней","60 дней"
"Что из перечисленного добавляет 2 очка?","Неправильная смена полосы","Превышение скорости на 15 миль/ч","Оба варианта","Ни один","Оба варианта"
"Какой орган начисляет страховые очки?","DMV","Страховая компания","Суд","Полиция","Страховая компания"
"Что из этого является целью системы очков?","Увеличить сборы","Наказать водителей","Снизить нарушения","Продать страховки","Снизить нарушения"
