"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Какой максимальный уровень BAC разрешен для водителей старше 21 года в Северной Каролине?","0.04%","0.06%","0.08%","0.10%","0.08%"
"Какой уровень BAC считается нулевым для водителей младше 21 года?","0.00%","0.02%","0.04%","0.06%","0.00%"
"Что грозит за первое нарушение DWI в Северной Каролине?","Штраф $100","Лишение лицензии на 30 дней","Лишение лицензии на 1 год","Ничего","Лишение лицензии на 1 год"
"Какой минимальный срок лишения лицензии за отказ от теста на алкоголь?","6 месяцев","1 год","2 года","30 дней","1 год"
"Что считается 'Driving While Impaired' (DWI) в NC?","BAC 0.08% или выше","Управление под воздействием наркотиков","Отказ от теста на алкоголь","Все вышеперечисленное","Все вышеперечисленное"
"Может ли несовершеннолетний водитель употреблять алкоголь и управлять автомобилем?","Да, если BAC ниже 0.08%","Нет, любой уровень алкоголя запрещен","Да, если с родителями","Да, если BAC ниже 0.04%","Нет, любой уровень алкоголя запрещен"
"Какой штраф может быть наложен за DWI с ребенком в машине?","До $500","До $1,000 и тюремное заключение","Только лишение лицензии","Предупреждение","До $1,000 и тюремное заключение"
"Что происходит, если вы отказываетесь от теста на алкоголь при подозрении в DWI?","Лишение лицензии на 1 год","Штраф $50","Предупреждение","Ничего","Лишение лицензии на 1 год"
"Какой срок тюремного заключения возможен за повторное нарушение DWI?","До 7 дней","До 1 месяца","До 1 года","До 5 лет","До 1 года"
"Кто подпадает под 'Zero Tolerance' для алкоголя в NC?","Водители младше 21","Водители старше 65","Коммерческие водители","Все водители","Водители младше 21"
"Какой уровень BAC для коммерческих водителей считается нарушением?","0.02%","0.04%","0.06%","0.08%","0.04%"
"Что из перечисленного является последствием DWI?","Лишение лицензии","Штрафы","Тюремное заключение","Все вышеперечисленное","Все вышеперечисленное"
"Сколько времени после первого DWI вы можете запросить ограниченное разрешение на вождение?","10 дней","30 дней","60 дней","90 дней","10 дней"
"Какой орган применяет законы о DWI в Северной Каролине?","DMV","Суд","Полиция","Все вышеперечисленное","Все вышеперечисленное"
"Может ли употребление лекарств привести к DWI?","Нет, только алкоголь","Да, если они влияют на вождение","Только нелегальные наркотики","Да, но только с алкоголем","Да, если они влияют на вождение"
"Какой минимальный штраф за первое DWI?","$100","$200","$300","$400","$200"
"Что из этого НЕ является наказанием за DWI?","Общественные работы","Штрафы","Бесплатная лицензия","Тюремное заключение","Бесплатная лицензия"
"Какой срок действия ограниченного разрешения после DWI?","6 месяцев","1 год","2 года","До восстановления лицензии","До восстановления лицензии"
"Что требуется для восстановления лицензии после DWI?","Оплата штрафа","Курс по алкоголю","Доказательство трезвости","Все вышеперечисленное","Все вышеперечисленное"
"Какой уровень BAC автоматически считается нарушением для лиц до 21 года?","0.01%","0.02%","0.04%","0.08%","0.01%"
"Может ли DWI повлиять на страховку?","Нет, это не связано","Да, премии могут вырасти","Только при аварии","Только для коммерческих водителей","Да, премии могут вырасти"
"Какое наказание за DWI с серьезными травмами?","Штраф $500","Лишение лицензии на 6 месяцев","Тюремное заключение до 3 лет","Предупреждение","Тюремное заключение до 3 лет"
"Что из перечисленного запрещено для водителей младше 21 года?","Употребление алкоголя","Курение","Езда ночью","Все вышеперечисленное","Употребление алкоголя"
"Какой тест используется для определения BAC?","Тест на зрение","Дыхательный тест","Тест на реакцию","Тест на знание знаков","Дыхательный тест"
"Что грозит за вождение с BAC выше 0.15%?","Более высокий штраф","Дополнительное тюремное заключение","Оба варианта","Ничего дополнительного","Оба варианта"
"Какой закон регулирует DWI в NC?","Federal Law","State Law","City Law","School Law","State Law"
"Что из перечисленного является нарушением для всех водителей?","BAC 0.08%","BAC 0.04%","BAC 0.02%","BAC 0.00%","BAC 0.08%"
"Может ли полиция остановить вас для проверки на алкоголь без причины?","Да, всегда","Нет, нужна причина","Только ночью","Только на выходных","Нет, нужна причина"
"Какой срок лишения лицензии за третье DWI?","1 год","3 года","5 лет","Пожизненно","Пожизненно"
"Что из этого является целью законов о DWI?","Увеличить доход штата","Снизить аварии","Продать больше лицензий","Ограничить молодежь","Снизить аварии"
