"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Что вы должны сделать, если видите велосипедиста на дороге?","Обогнать сразу","Держать дистанцию 3 фута","Сигналить","Ускориться","Держать дистанцию 3 фута"
"Кто имеет преимущество на пешеходном переходе?","Водитель","Пешеход","Оба","Никто","Пешеход"
"Что такое 'No-Zone' у грузовиков?","Зона для обгона","Слепые зоны","Зона остановки","Зона поворота","Слепые зоны"
"Какой минимальный возраст для езды на мопеде в NC?","14","15","16","18","16"
"Что делать, если мотоциклист едет рядом с вами?","Снизить скорость","Держать безопасную дистанцию","Сигналить","Обогнать сразу","Держать безопасную дистанцию"
"Что запрещено при обгоне грузовика?","Обгон в 'No-Zone'","Обгон на повороте","Оба варианта","Ни один","Оба варианта"
"Как пешеход должен переходить дорогу?","Только на переходе","В любом месте","Бегом","Сигналя","Только на переходе"
"Что делать, если вы видите припаркованный трейлер?","Объехать осторожно","Сигналить","Остановиться","Ускориться","Объехать осторожно"
"Какой знак указывает на велосипедную полосу?","Белый ромб с велосипедом","Желтый треугольник","Красный круг","Зеленый квадрат","Белый ромб с велосипедом"
"Что делать, если грузовик подает сигнал поворота?","Ускориться","Дать ему больше места","Сигналить","Держаться ближе","Дать ему больше места"
"Могут ли велосипедисты ездить по тротуару?","Да, всегда","Нет, только на дороге","Зависит от местных правил","Только ночью","Зависит от местных правил"
"Что из перечисленного опасно для мотоциклистов?","Мокрая дорога","Гравий","Оба варианта","Ни один","Оба варианта"
"Какой сигнал руки использует велосипедист для остановки?","Левая рука вверх","Левая рука вниз","Правая рука вверх","Правая рука прямо","Левая рука вниз"
"Что делать, если вы видите пешехода вне перехода?","Сигналить","Уступить дорогу","Ускориться","Остановиться резко","Уступить дорогу"
"Где находятся 'No-Zones' у грузовика?","Спереди, сзади, по бокам","Только сзади","Только спереди","Только по бокам","Спереди, сзади, по бокам"
"Что запрещено выбрасывать из машины?","Бумагу","Окурки","Оба варианта","Ни один","Оба варианта"
"Какой закон регулирует чистоту дорог в NC?","Adopt-A-Highway","Litter-Free Law","Оба варианта","Ни один","Оба варианта"
"Что делать при обгоне мотоцикла?","Держать дистанцию","Сигналить","Оба варианта","Ни один","Держать дистанцию"
"Может ли мопед двигаться быстрее 30 миль/ч?","Да","Нет","Только на шоссе","Только днем","Нет"
"Что делать, если велосипедист подает сигнал поворота?","Ускориться","Уступить","Сигналить","Обогнать сразу","Уступить"
"Какой штраф за мусор на дороге?","До $500","До $1,000","До $2,000","Предупреждение","До $2,000"
"Что из перечисленного должен носить мотоциклист?","Шлем","Перчатки","Оба варианта","Ни один","Шлем"
"Какой знак предупреждает о пешеходах?","Желтый ромб с фигурой","Красный круг","Белый прямоугольник","Зеленый квадрат","Желтый ромб с фигурой"
"Что делать при приближении к трейлеру на дороге?","Держать дистанцию","Обогнать быстро","Сигналить","Остановиться","Держать дистанцию"
"Могут ли два мотоцикла ехать рядом в одной полосе?","Да","Нет","Только ночью","Только на шоссе","Да"
"Что делать, если вы видите собаку на дороге?","Сигналить","Снизить скорость","Оба варианта","Ни один","Снизить скорость"
"Какой знак указывает на зону отдыха для грузовиков?","Зеленый прямоугольник","Желтый ромб","Красный круг","Белый прямоугольник","Зеленый прямоугольник"
"Что делать при обгоне велосипеда на узкой дороге?","Ждать безопасного момента","Сигналить","Обогнать сразу","Ускориться","Ждать безопасного момента"
"Кто отвечает за уборку дорог в NC?","Adopt-A-Highway","DMV","Полиция","Водители","Adopt-A-Highway"
"Что из перечисленного помогает быть видимым для мотоциклистов?","Яркая одежда","Сигналы поворота","Оба варианта","Ни один","Оба варианта"
