"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Какой знак требует полной остановки?","Красный восьмиугольник","Желтый ромб","Перевернутый треугольник","Круглый желтый","Красный восьмиугольник"
"Что означает перевернутый треугольник с красной каймой?","Уступи дорогу","Стоп","Поворот запрещен","Школьная зона","Уступи дорогу"
"Какой знак указывает на железнодорожный переезд?","Круглый желтый с 'X' и 'RR'","Красный восьмиугольник","Желтый ромб","Белый прямоугольник","Круглый желтый с 'X' и 'RR'"
"Что означает красный круг с белой горизонтальной чертой?","Въезд запрещен","Остановка запрещена","Поворот налево запрещен","Обгон разрешен","Въезд запрещен"
"Какой знак показывает ограничение скорости?","Белый прямоугольник с числом","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с числом"
"Что означает желтый ромб с изогнутой стрелкой?","Поворот впереди","Стоп","Школьная зона","Обгон запрещен","Поворот впереди"
"Какой знак запрещает поворот налево?","Красный круг с белой стрелкой влево","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с белой стрелкой влево"
"Что показывает зеленый прямоугольник с белыми буквами?","Информацию о маршруте","Предупреждение","Запрет","Остановку","Информацию о маршруте"
"Какой знак указывает на школьную зону?","Желтый пятиугольник с детьми","Красный восьмиугольник","Белый прямоугольник","Зеленый круг","Желтый пятиугольник с детьми"
"Что означает двойная сплошная желтая линия?","Обгон запрещен","Обгон разрешен","Поворот налево разрешен","Остановка разрешена","Обгон запрещен"
"Какой знак предупреждает о пешеходах?","Желтый ромб с человеком","Красный круг","Белый прямоугольник","Зеленый квадрат","Желтый ромб с человеком"
"Что показывает пунктирная желтая линия?","Обгон разрешен","Обгон запрещен","Остановка запрещена","Поворот запрещен","Обгон разрешен"
"Какой знак запрещает остановку?","Красный круг с синей серединой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с синей серединой"
"Что означает белая стрелка прямо на дороге?","Движение только прямо","Поворот налево","Обгон разрешен","Остановка","Движение только прямо"
"Какой знак указывает на рабочую зону?","Желтый ромб с рабочим","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с рабочим"
"Что показывает сплошная белая линия?","Смена полосы запрещена","Смена полосы разрешена","Обгон разрешен","Поворот запрещен","Смена полосы запрещена"
"Какой знак предупреждает о животных?","Желтый ромб с оленем","Красный круг","Белый прямоугольник","Зеленый квадрат","Желтый ромб с оленем"
"Что означает красный круг с белой 'P' и чертой?","Парковка запрещена","Остановка разрешена","Поворот запрещен","Обгон разрешен","Парковка запрещена"
"Какой знак показывает направление к больнице?","Белый прямоугольник с 'H'","Зеленый прямоугольник","Желтый ромб","Красный круг","Белый прямоугольник с 'H'"
"Что означает пунктирная белая линия?","Смена полосы разрешена","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Смена полосы разрешена"
"Какой знак запрещает разворот?","Красный круг с красной 'U' стрелкой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с красной 'U' стрелкой"
"Что показывает желтый ромб с трактором?","Сельскохозяйственная техника впереди","Стоп","Школьная зона","Обгон запрещен","Сельскохозяйственная техника впереди"
"Какой знак указывает на велосипедную полосу?","Белый ромб с велосипедом","Желтый треугольник","Красный круг","Зеленый квадрат","Белый ромб с велосипедом"
"Что означает белая линия 'STOP' на дороге?","Остановиться полностью","Уступить","Двигаться медленно","Поворот разрешен","Остановиться полностью"
"Какой знак предупреждает о крутом спуске?","Желтый ромб с наклонной стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с наклонной стрелкой"
"Что показывает зеленый круг с белой стрелкой?","Движение разрешено","Остановка запрещена","Поворот запрещен","Обгон запрещен","Движение разрешено"
"Какой знак запрещает обгон?","Белый прямоугольник с 'No Passing'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'No Passing'"
"Что означает желтый ромб с двумя стрелками?","Сужение дороги","Разделение дороги","Стоп","Школьная зона","Сужение дороги"
"Какой знак указывает на зону отдыха?","Зеленый прямоугольник с деревом","Желтый ромб","Красный круг","Белый прямоугольник","Зеленый прямоугольник с деревом"
"Что показывает сплошная желтая линия с пунктирной рядом?","Обгон разрешен для одной стороны","Обгон запрещен","Остановка запрещена","Поворот запрещен","Обгон разрешен для одной стороны"
"Какой знак предупреждает о перекрестке?","Желтый ромб с 'T'","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с 'T'"
"Что означает красный круг с белой стрелкой вправо?","Поворот направо запрещен","Остановка запрещена","Поворот налево запрещен","Обгон разрешен","Поворот направо запрещен"
"Какой знак показывает конец зоны ограничения скорости?","Белый прямоугольник с числом и чертой","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с числом и чертой"
"Что означает желтый ромб с фигурой ребенка?","Детская площадка впереди","Стоп","Школьная зона","Обгон запрещен","Детская площадка впереди"
"Какой знак запрещает въезд грузовиков?","Красный круг с грузовиком","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с грузовиком"
"Что показывает белая стрелка налево на дороге?","Поворот налево обязателен","Движение прямо","Обгон разрешен","Остановка","Поворот налево обязателен"
"Какой знак предупреждает о скользкой дороге?","Желтый ромб с волнистой линией","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с волнистой линией"
"Что означает зеленый прямоугольник с номером шоссе?","Номер маршрута","Предупреждение","Запрет","Остановка","Номер маршрута"
"Какой знак указывает на одностороннее движение?","Белый прямоугольник со стрелкой","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник со стрелкой"
"Что показывает желтый ромб с изображением моста?","Низкий мост впереди","Стоп","Школьная зона","Обгон запрещен","Низкий мост впереди"
"Какой знак запрещает парковку в определенное время?","Белый прямоугольник с 'No Parking' и временем","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'No Parking' и временем"
"Что означает белая пунктирная линия с ромбом?","Выделенная полоса для HOV","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Выделенная полоса для HOV"
"Какой знак предупреждает о резком повороте?","Желтый ромб с острой стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с острой стрелкой"
"Что показывает красный круг с белым велосипедом и чертой?","Велосипеды запрещены","Остановка запрещена","Поворот запрещен","Обгон разрешен","Велосипеды запрещены"
"Какой знак указывает на съезд с шоссе?","Зеленый прямоугольник с номером выхода","Желтый ромб","Красный круг","Белый прямоугольник","Зеленый прямоугольник с номером выхода"
"Что означает желтый ромб с изображением грузовика?","Грузовики впереди","Стоп","Школьная зона","Обгон запрещен","Грузовики впереди"
"Какой знак запрещает движение пешеходов?","Красный круг с фигурой человека и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с фигурой человека и чертой"
"Что показывает белая стрелка вправо на дороге?","Поворот направо обязателен","Движение прямо","Обгон разрешен","Остановка","Поворот направо обязателен"
"Какой знак предупреждает о боковом ветре?","Желтый ромб с волнистой стрелкой","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с волнистой стрелкой"
"Что означает зеленый прямоугольник с белой 'P'?","Парковка разрешена","Предупреждение","Запрет","Остановка","Парковка разрешена"
"Какой знак указывает на автобусную остановку?","Белый прямоугольник с 'Bus Stop'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'Bus Stop'"
"Что показывает желтый ромб с изображением камня?","Падающие камни впереди","Стоп","Школьная зона","Обгон запрещен","Падающие камни впереди"
"Какой знак запрещает обгон грузовиков?","Белый прямоугольник с 'No Truck Passing'","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с 'No Truck Passing'"
"Что означает белая линия с ромбом и 'ONLY'?","Полоса только для HOV","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Полоса только для HOV"
