"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Что означает зеленый свет на светофоре?","Остановиться","Двигаться, если безопасно","Уступить","Поворот запрещен","Двигаться, если безопасно"
"Какой знак требует полной остановки?","Красный восьмиугольник","Желтый ромб","Перевернутый треугольник","Круглый желтый","Красный восьмиугольник"
"Что означает мигающий желтый свет?","Остановиться полностью","Уступить и продолжать осторожно","Двигаться быстрее","Поворот запрещен","Уступить и продолжать осторожно"
"Какой знак указывает на железнодорожный переезд?","Круглый желтый с 'X'","Красный восьмиугольник","Желтый треугольник","Белый прямоугольник","Круглый желтый с 'X'"
"Что означает двойная желтая линия на дороге?","Обгон разрешен","Обгон запрещен","Поворот налево разрешен","Остановка разрешена","Обгон запрещен"
"Какой цвет имеют предупреждающие знаки?","Красный","Желтый","Зеленый","Белый","Желтый"
"Что означает мигающий красный свет?","Уступить","Остановиться полностью","Двигаться быстрее","Поворот разрешен","Остановиться полностью"
"Какой знак показывает направление к больнице?","Белый прямоугольник с 'H'","Зеленый прямоугольник","Желтый ромб","Красный круг","Белый прямоугольник с 'H'"
"Что показывает сплошная белая линия?","Смена полосы запрещена","Смена полосы разрешена","Обгон разрешен","Поворот запрещен","Смена полосы запрещена"
"Какой знак обозначает 'Уступи дорогу'?","Перевернутый треугольник с красной каймой","Красный восьмиугольник","Желтый ромб","Круглый желтый","Перевернутый треугольник с красной каймой"
"Что означает зеленая стрелка налево на светофоре?","Поворот налево запрещен","Поворот налево разрешен","Остановиться","Двигаться только прямо","Поворот налево разрешен"
"Какой знак предупреждает о повороте?","Желтый ромб с изогнутой стрелкой","Красный круг","Белый прямоугольник","Зеленый квадрат","Желтый ромб с изогнутой стрелкой"
"Что означает пунктирная желтая линия?","Обгон разрешен","Обгон запрещен","Остановка запрещена","Поворот запрещен","Обгон разрешен"
"Какой цвет имеют регулирующие знаки?","Красный","Желтый","Белый или красный","Зеленый","Белый или красный"
"Что показывает мигающая желтая стрелка?","Поворот запрещен","Поворот разрешен после уступки","Остановиться","Двигаться прямо","Поворот разрешен после уступки"
"Какой знак указывает на зону школы?","Желтый пятиугольник","Красный восьмиугольник","Белый прямоугольник","Зеленый круг","Желтый пятиугольник"
"Что означает белая стрелка на дороге?","Движение только прямо","Поворот налево","Обгон разрешен","Остановка","Движение только прямо"
"Какой знак запрещает поворот налево?","Красный круг с белой стрелкой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с белой стрелкой"
"Что означает мигающий красный 'X' над полосой?","Полоса закрыта","Полоса открыта","Поворот разрешен","Уступить","Полоса закрыта"
"Какой знак указывает на скоростной лимит?","Белый прямоугольник с числом","Желтый ромб","Красный круг","Зеленый квадрат","Белый прямоугольник с числом"
"Что показывает пунктирная белая линия?","Смена полосы разрешена","Смена полосы запрещена","Обгон запрещен","Поворот запрещен","Смена полосы разрешена"
"Какой знак предупреждает о пешеходах?","Желтый ромб с фигурой человека","Красный восьмиугольник","Белый прямоугольник","Зеленый круг","Желтый ромб с фигурой человека"
"Что означает красный круг с белой горизонтальной линией?","Въезд запрещен","Остановка запрещена","Поворот запрещен","Обгон разрешен","Въезд запрещен"
"Какой цвет имеют информационные знаки?","Красный","Желтый","Зеленый","Белый","Зеленый"
"Что показывает сплошная желтая линия с пунктирной рядом?","Обгон разрешен для одной стороны","Обгон запрещен","Остановка запрещена","Поворот запрещен","Обгон разрешен для одной стороны"
"Какой знак указывает на рабочую зону?","Желтый ромб с рабочим","Красный восьмиугольник","Белый прямоугольник","Зеленый квадрат","Желтый ромб с рабочим"
"Что означает мигающий зеленый свет?","Двигаться быстрее","Уступить","Остановиться","Такого сигнала нет","Такого сигнала нет"
"Какой знак показывает 'Нет парковки'?","Красный круг с белой 'P' и чертой","Желтый ромб","Белый прямоугольник","Зеленый квадрат","Красный круг с белой 'P' и чертой"
"Что означает белая линия 'STOP' на дороге?","Остановиться полностью","Уступить","Двигаться медленно","Поворот разрешен","Остановиться полностью"
"Какой знак предупреждает о животных на дороге?","Желтый ромб с оленем","Красный круг","Белый прямоугольник","Зеленый квадрат","Желтый ромб с оленем"
